FantasyPoints,Player,Position,Points,Rebounds,Assists,Blocks, Turnovers
4,Didi Louzada\louzama01,SF,2.7,1,1.0,0.0,1.0
13,J.J. Redick\redicjj01,SG,8.7,2,1.3,0.1,0.8
18,Nicolas Claxton\claxtni01,C,6.6,5,0.9,1.3,0.6
14,Frank Jackson\jacksfr01,PG,9.8,2,0.9,0.0,0.9
12,Aron Baynes\baynear01,C,6.1,5,0.9,0.4,0.9
16,Xavier Tillman Sr.\tillmxa01,PF,6.6,4,1.3,0.6,0.8
16,Mike Muscala\muscami01,C,9.7,4,0.8,0.3,0.6
16,Jordan McLaughlin\mclaujo01,PG,5.0,2,3.8,0.1,1.0
17,Dennis Smith Jr.\smithde03,PG,6.7,2,3.3,0.6,1.1
14,Taurean Prince\princta02,PF,8.1,3,0.6,0.7,0.9
16,Mike James\jamesmi02,PG,7.7,2,4.2,0.1,1.5
8,Gary Clark\clarkga01,SF,3.4,3,0.9,0.2,0.5
12,Troy Brown Jr.\browntr01,SF,5.5,3,0.8,0.2,0.4
10,Grant Williams\willigr01,PF,4.7,3,1.0,0.4,0.9
13,Jeff Teague\teaguje01,PG,6.9,2,2.1,0.2,1.1
15,Jaylen Nowell\nowelja01,SG,9.0,2,1.5,0.3,0.7
11,Timothé Luwawu-Cabarrot\luwawti01,SF,6.4,2,1.2,0.1,0.7
19,Cameron Payne\payneca01,PG,8.4,2,3.6,0.3,1.0
17,Willy Hernangómez\hernawi01,C,7.8,7,1.1,0.5,0.7
18,Tony Bradley\bradlto01,C,8.7,6,0.9,0.8,1.2
9,Jerome Robinson\robinje01,SG,4.9,2,1.5,0.4,1.1
21,Isaiah Hartenstein\harteis01,C,8.3,6,2.5,1.2,1.4
16,Jarred Vanderbilt\vandeja01,PF,5.4,6,1.2,0.7,0.8
12,Aaron Holiday\holidaa01,PG,7.2,1,1.9,0.2,1.0
23,Daniel Gafford\gaffoda01,C,10.1,6,0.5,1.8,0.8
13,Sviatoslav Mykhailiuk\mykhasv01,SF,6.9,2,1.6,0.2,1.1
15,Terence Davis\daviste02,SG,8.7,2,1.4,0.2,1.0
11,Ben McLemore\mclembe01,SG,8.0,2,0.5,0.3,0.7
17,Tyus Jones\jonesty01,PG,6.3,2,3.7,0.1,0.7
10,Tyler Johnson\johnsty01,SG,5.4,2,1.2,0.0,0.4
15,Dario Šarić\saricda01,C,8.7,4,1.3,0.1,1.1
14,Eric Paschall\pascher01,PF,9.5,3,1.3,0.2,1.1
15,James Johnson\johnsja01,PF,5.7,3,1.7,0.8,0.9
13,R.J. Hampton\hamptrj01,SG-PG,6.9,4,1.7,0.2,1.0
19,DeMarcus Cousins\couside01,C,8.9,6,1.9,0.6,1.6
12,Brad Wanamaker\wanambr01,PG,5.5,2,2.9,0.2,1.2
13,Jeff Teague\teaguje01,PG,6.7,2,2.4,0.2,1.2
13,Anfernee Simons\simonan01,SG,7.8,2,1.4,0.1,0.7
10,Anthony Lamb\lamban01,SF,5.5,3,1.0,0.2,0.8
16,Dwight Howard\howardw01,C,7.0,8,0.9,0.9,1.6
12,Juan Hernangómez\hernaju01,PF,7.2,4,0.7,0.1,0.5
12,Matthew Dellavedova\dellama01,PG,2.8,2,4.5,0.1,0.5
16,Rajon Rondo\rondora01,PG,5.4,2,4.4,0.1,1.8
11,Ben McLemore\mclembe01,SG,7.7,2,0.7,0.2,0.8
8,Rodney Hood\hoodro01,SF,4.5,2,1.0,0.1,0.7
14,Willie Cauley-Stein\caulewi01,C,5.3,4,0.7,0.8,0.5
12,Devin Vassell\vassede01,SF,5.5,3,0.9,0.3,0.4
9,Cameron Reynolds\reynoca01,SF,6.5,2,1.0,0.0,0.0
9,Semi Ojeleye\ojelese01,PF,4.6,3,0.7,0.0,0.4
12,Justin Jackson\jacksju01,SF,7.2,2,1.5,0.1,0.9
17,Gorgui Dieng\dienggo01,C,7.9,4,1.3,0.6,1.0
7,Charlie Brown\brownch02,SG,4.4,2,1.0,0.2,0.7
13,Nemanja Bjelica\bjeline01,PF,7.2,4,1.9,0.1,1.1
11,Ben McLemore\mclembe01,SG,7.4,2,0.9,0.1,0.9
12,Jaylen Hoard\hoardja01,SF,6.1,3,1.3,0.3,0.9
7,Gary Clark\clarkga01,SF-PF,3.1,3,0.8,0.2,0.4
13,Denzel Valentine\valende01,SG,6.5,3,1.7,0.1,0.7
10,Mike Scott\scottmi01,PF,4.2,2,0.8,0.3,0.4
14,Dwight Powell\poweldw01,C,5.9,4,1.1,0.5,0.7
13,Kira Lewis Jr.\lewiski01,PG,6.4,1,2.3,0.2,0.6
12,Dylan Windler\windldy01,SF,5.2,3,1.1,0.4,1.0
11,Stanley Johnson\johnsst04,PF,4.4,2,1.5,0.3,0.9
12,Justin Jackson\jacksju01,SF,7.2,2,1.5,0.1,0.9
11,J.J. Redick\redicjj01,SG,7.4,2,1.2,0.1,0.8
11,Cody Martin\martico01,SF,4.0,3,1.7,0.2,0.8
15,Saben Lee\leesa01,PG,5.6,2,3.6,0.3,1.1
9,Shaquille Harrison\harrish01,SG,3.3,2,0.9,0.3,0.4
16,Tony Bradley\bradlto01,C,7.1,6,0.9,0.7,0.8
12,Edmond Sumner\sumneed01,SG,7.5,2,0.9,0.2,1.0
9,Garrison Mathews\mathega01,SG,5.5,1,0.4,0.1,0.2
15,Jaxson Hayes\hayesja02,C,7.5,4,0.6,0.6,0.7
14,Torrey Craig\craigto01,SF,5.5,4,1.0,0.5,0.5
13,Nemanja Bjelica\bjeline01,PF,6.5,3,1.9,0.1,0.9
11,Brad Wanamaker\wanambr01,PG,4.7,2,2.5,0.2,0.9
13,Moritz Wagner\wagnemo01,C,6.9,3,1.1,0.4,1.0
7,Isaiah Thomas\thomais02,PG,7.7,1,1.7,0.0,2.0
9,Glenn Robinson III\robingl02,SF,5.3,2,0.9,0.1,0.5
12,Georges Niang\niangge01,PF,6.9,2,0.8,0.1,0.7
5,Josh Hall\halljo01,SF,4.1,3,1.3,0.0,1.2
13,Jeff Teague\teaguje01,PG,6.6,1,2.8,0.2,1.2
9,DaQuan Jeffries\jeffrda01,SG,4.1,2,0.7,0.3,0.5
15,Alex Len\lenal01,C,7.1,4,0.8,1.0,0.8
18,Mo Bamba\bambamo01,C,8.0,6,0.8,1.3,0.8
6,Romeo Langford\langfro01,SG,3.1,2,0.7,0.3,0.6
10,Chandler Hutchison\hutchch01,SF,5.2,3,0.7,0.3,0.8
10,Trey Lyles\lylestr01,PF,5.0,4,0.6,0.0,0.3
8,Sekou Doumbouya\doumbse01,PF,5.1,3,0.8,0.2,0.8
11,Dakota Mathias\mathida01,SG,6.0,1,1.6,0.4,0.1
10,Caleb Martin\martica02,SF,5.0,3,1.3,0.2,0.6
9,Troy Brown Jr.\browntr01,SF,4.7,3,0.9,0.2,0.6
10,Patrick Patterson\pattepa01,PF,5.2,2,0.8,0.2,0.3
14,Tyrese Maxey\maxeyty01,SG,8.0,2,2.0,0.2,0.7
14,Alex Len\lenal01,C,6.6,4,0.8,1.0,0.9
15,Derrick Favors\favorde01,C,5.4,6,0.6,1.0,0.5
17,Hassan Whiteside\whiteha01,C,8.1,6,0.6,1.3,1.1
16,JaVale McGee\mcgeeja01,C,8.0,5,1.0,1.2,1.4
15,Frank Kaminsky\kaminfr01,C,6.6,4,1.7,0.4,0.5
14,Moritz Wagner\wagnemo01,C,7.1,3,1.3,0.3,0.8
10,Tyler Cook\cookty01,SF,5.5,3,0.5,0.1,0.7
10,Jordan Bell\belljo01,C,1.0,5,2.0,2.0,1.0
12,Rajon Rondo\rondora01,PG,3.9,2,3.5,0.1,1.4
12,Abdel Nader\naderab01,SF,6.7,3,0.8,0.4,0.8
15,JaVale McGee\mcgeeja01,C,7.3,5,0.8,1.2,1.3
9,Jarrett Culver\culveja01,SG,5.3,3,0.7,0.3,0.8
11,Trey Burke\burketr01,PG,6.6,1,1.3,0.1,0.5
16,Daniel Gafford\gaffoda01,PF-C,7.0,4,0.5,1.4,0.8
11,Yuta Watanabe\watanyu01,SF,4.4,3,0.8,0.4,0.4
9,Aaron Nesmith\nesmiaa01,SF,4.7,3,0.5,0.2,0.5
15,Gorgui Dieng\dienggo01,C,6.8,4,1.3,0.4,0.8
12,Terence Davis\daviste02,SG,6.9,2,1.1,0.2,0.9
10,ETwaun Moore\mooreet01,SG,4.9,2,1.5,0.2,0.9
11,Robert Franks\frankro01,PF,6.1,2,0.7,0.4,0.3
15,Tony Bradley\bradlto01,C,5.5,5,0.9,0.7,0.3
12,D.J. Wilson\wilsodj01,PF,6.1,4,0.9,0.5,0.8
17,Louis King\kinglo02,SF,7.3,3,1.5,0.5,0.7
13,Nemanja Bjelica\bjeline01,PF,5.0,2,1.8,0.3,0.5
8,Nicolò Melli\mellini01,PF,4.0,3,0.8,0.1,0.2
13,Luke Kornet\kornelu01,C,4.4,3,1.1,1.4,0.3
11,Damian Jones\jonesda03,C,4.7,3,0.7,0.7,0.7
12,Damian Jones\jonesda03,C,5.4,3,0.1,0.9,0.6
13,Drew Eubanks\eubandr01,C,5.8,4,0.8,0.9,0.8
8,Jordan Bone\bonejo01,PG,4.0,2,1.3,0.0,0.2
10,Jake Layman\laymaja01,SF,5.1,2,0.6,0.4,0.6
5,Wesley Iwundu\iwundwe01,SF,2.8,3,0.4,0.1,0.7
12,Jabari Parker\parkeja01,PF,6.4,4,1.0,0.4,0.7
8,Chandler Hutchison\hutchch01,SF,4.3,3,0.7,0.2,0.8
14,Donta Hall\halldo01,PF,5.6,5,0.8,0.8,0.6
8,Javonte Green\greenja02,SG,4.2,2,0.4,0.1,0.5
9,Tyler Cook\cookty01,SF-PF,4.9,3,0.5,0.1,0.7
8,Troy Brown Jr.\browntr01,SF,4.3,3,0.9,0.2,0.8
9,Jordan Bell\belljo01,C,2.5,4,1.2,0.8,0.7
12,Chimezie Metu\metuch01,C,6.3,3,0.8,0.5,0.8
13,Yogi Ferrell\ferreyo01,PG,5.6,2,2.2,0.3,0.3
11,Quinn Cook\cookqu01,PG,6.1,2,1.9,0.0,0.6
12,JaVale McGee\mcgeeja01,C,5.5,5,0.5,1.1,1.2
13,Marquese Chriss\chrisma01,PF,6.5,6,1.0,1.0,1.0
8,Brodric Thomas\thomabr01,SG,4.1,2,0.9,0.3,0.6
11,John Konchar\konchjo01,SG,4.3,3,1.1,0.2,0.4
9,Jordan Bell\belljo01,C,2.8,4,1.0,0.6,0.6
9,Nassir Little\littlna01,PF,4.6,3,0.5,0.3,0.4
12,Jalen Harris\harrija01,SG,7.4,1,1.3,0.0,1.1
9,Brandon Goodwin\goodwbr01,PG,4.9,2,2.0,0.0,0.8
8,Gabe Vincent\vincega01,PG,4.8,1,1.3,0.0,0.7
5,Wesley Iwundu\iwundwe01,SF,2.4,2,0.4,0.1,0.5
16,Dewayne Dedmon\dedmode01,C,7.1,5,0.8,0.4,0.8
10,Max Strus\strusma01,SF,6.1,1,0.6,0.1,0.2
10,Ed Davis\davised01,C,2.1,5,0.9,0.6,0.3
9,Jahlil Okafor\okafoja01,C,5.4,2,0.5,0.2,0.8
6,DaQuan Jeffries\jeffrda01,SG,3.5,2,0.3,0.2,0.4
15,DeMarcus Cousins\couside01,C,7.8,4,1.0,0.4,1.6
9,Mychal Mulder\muldemy01,PG,5.6,1,0.4,0.2,0.3
10,Jabari Parker\parkeja01,PF,5.5,3,0.8,0.4,0.8
6,Rodney Hood\hoodro01,SF,3.9,2,0.4,0.2,0.3
5,Andre Roberson\roberan03,SG,1.2,3,0.8,0.2,0.4
7,Nicolò Melli\mellini01,PF,3.0,3,1.0,0.1,0.3
7,Brodric Thomas\thomabr01,SG,3.9,2,0.9,0.3,0.7
8,Lamar Stevens\stevela01,PF,4.1,2,0.6,0.3,0.6
5,Wesley Iwundu\iwundwe01,SF,2.1,2,0.4,0.1,0.3
12,Goga Bitadze\bitadgo01,C,5.1,3,0.8,1.3,0.4
10,D.J. Wilson\wilsodj01,PF,5.2,3,0.7,0.5,0.6
12,Daniel Gafford\gaffoda01,PF,4.7,3,0.5,1.1,0.7
6,Tim Frazier\fraziti01,PG,1.6,2,3.2,0.2,0.8
12,Isaiah Hartenstein\harteis01,C,5.1,4,1.2,0.8,1.0
6,KZ Okpala\okpalkz01,PF,2.5,2,0.5,0.3,0.4
11,Rodney McGruder\mcgruro01,SG,5.7,1,1.0,0.1,0.4
9,Nico Mannion\mannini01,PG,4.1,2,2.3,0.0,1.0
9,Precious Achiuwa\achiupr01,PF,5.0,3,0.5,0.5,0.7
11,Onyeka Okongwu\okongon01,C,4.6,3,0.4,0.7,0.6
12,Yogi Ferrell\ferreyo01,PG,4.6,2,2.1,0.3,0.0
10,Jevon Carter\carteje01,PG,4.1,2,1.2,0.2,0.3
8,Mason Jones\jonesma05,SG,5.8,2,1.5,0.0,1.1
10,Mfiondu Kabengele\kabenmf01,PF,4.3,3,0.8,0.6,0.6
7,Javonte Green\greenja02,SG-PG,3.6,2,0.4,0.1,0.5
7,Wenyen Gabriel\gabriwe01,PF,3.4,3,0.5,0.4,0.7
6,Josh Green\greenjo02,SG,2.6,2,0.7,0.1,0.4
6,J.J. Redick\redicjj01,SG,4.4,1,0.8,0.1,0.8
5,Maurice Harkless\harklma01,SF,1.4,1,0.6,0.4,0.3
3,Kris Dunn\dunnkr01,PG,1.3,2,0.5,0.5,0.8
11,Gorgui Dieng\dienggo01,C,5.3,3,1.2,0.1,0.6
10,Luke Kornet\kornelu01,C-PF,3.4,2,0.8,1.0,0.2
8,Torrey Craig\craigto01,SF,2.5,2,0.9,0.4,0.3
4,Al-Farouq Aminu\aminual01,PF,1.5,3,0.3,0.0,0.5
8,Paul Watson\watsopa01,SF,4.1,2,0.6,0.1,0.3
8,Obi Toppin\toppiob01,PF,4.1,2,0.5,0.2,0.4
6,Nicolò Melli\mellini01,PF,2.0,2,1.1,0.0,0.3
6,Kevin Knox\knoxke01,SF,3.9,1,0.5,0.1,0.4
8,Langston Galloway\gallola01,SG,4.8,1,0.7,0.0,0.3
7,JaKarr Sampson\sampsja02,PF,4.6,3,0.1,0.5,0.5
11,Darius Miller\milleda01,SF,4.1,1,1.2,0.3,0.4
5,Alex Len\lenal01,C,2.3,2,0.4,0.9,1.1
5,Isaac Bonga\bongais01,SF,2.0,2,0.6,0.2,0.6
13,Alize Johnson\johnsal02,PF,5.2,5,0.8,0.3,0.5
11,Chris Chiozza\chiozch01,PG,4.0,1,3.0,0.3,0.7
8,Mason Jones\jonesma05,SG,5.3,2,1.3,0.0,0.9
6,Sindarius Thornwell\thornsi01,SG,2.0,1,1.0,0.1,0.3
7,Ryan Arcidiacono\arcidry01,PG,3.1,2,1.3,0.0,0.2
7,Killian Tillie\tilliki02,C,3.2,1,0.4,0.4,0.1
7,Trent Forrest\forretr01,PG,2.9,2,1.5,0.1,0.7
8,Mamadi Diakite\diakima01,PF,3.1,2,0.6,0.4,0.2
5,Justin Robinson\robinju01,PG,2.3,1,1.0,0.0,0.2
6,Frank Ntilikina\ntilila01,PG,2.7,1,0.6,0.1,0.3
5,Shaquille Harrison\harrish01,SG,2.1,1,0.7,0.1,0.3
6,Meyers Leonard\leoname01,C,3.3,2,0.7,0.0,0.7
7,Rondae Hollis-Jefferson\holliro01,PF,2.5,2,1.2,0.4,0.2
6,Thanasis Antetokounmpo\antetth01,SF,2.9,2,0.8,0.2,0.8
4,Miye Oni\onimi01,SG,1.9,2,0.5,0.1,0.3
2,Ray Spalding\spaldra01,C,2.0,2,0.0,1.0,1.5
6,Zeke Nnaji\nnajize01,PF,3.2,2,0.2,0.1,0.2
8,Thon Maker\makerth01,C,3.8,2,0.5,0.5,0.4
6,Dennis Smith Jr.\smithde03,PG,3.0,1,1.0,0.0,0.3
6,Luka Šamanić\samanlu01,PF,3.7,2,0.5,0.2,0.6
4,Norvel Pelle\pelleno01,C,2.0,2,0.0,1.0,1.0
6,Isaiah Joe\joeis01,SG,3.7,1,0.5,0.1,0.3
5,R.J. Hampton\hamptrj01,PG,2.6,2,0.6,0.1,0.4
7,Devin Cannady\cannade01,PG,4.3,1,0.1,0.1,0.3
9,Tremont Waters\watertr01,PG,3.8,1,2.4,0.0,1.0
9,Kelan Martin\martike03,SF,4.5,2,0.5,0.3,0.5
8,Harry Giles\gilesha01,C,2.8,4,0.8,0.3,0.5
9,Jordan Nwora\nworajo01,SF,5.7,2,0.2,0.2,0.8
4,Chandler Hutchison\hutchch01,SF,1.9,3,0.6,0.0,0.7
8,Isaiah Hartenstein\harteis01,C,3.5,3,0.5,0.7,0.7
3,Anthony Tolliver\tollian01,PF,1.5,1,0.2,0.2,0.3
4,Jabari Parker\parkeja01,PF,2.7,2,0.3,0.3,1.0
5,Amir Coffey\coffeam01,SG,3.2,1,0.5,0.0,0.3
6,Carsen Edwards\edwarca01,SG,4.0,1,0.5,0.0,0.2
6,D.J. Wilson\wilsodj01,PF,3.6,2,0.3,0.3,0.3
4,Sean McDermott\mcderse01,SF,2.2,1,0.2,0.2,0.2
3,Karim Mané\maneka01,PG,1.1,1,0.4,0.2,0.3
7,Ersan İlyasova\ilyaser01,PF,3.8,2,0.2,0.2,0.5
6,Justin James\jamesju01,SF,3.9,1,0.6,0.1,0.4
6,Nathan Knight\knighna01,PF,3.8,2,0.2,0.3,0.5
7,Anthony Gill\gillan01,PF,3.1,2,0.4,0.2,0.3
3,Jeremiah Martin\martije02,PG,2.4,1,0.4,0.2,0.7
7,Skylar Mays\mayssk01,SG,3.8,1,0.9,0.1,0.3
8,Boban Marjanović\marjabo01,C,4.7,4,0.3,0.2,0.4
6,Keita Bates-Diop\bateske01,SF,2.6,2,0.4,0.2,0.2
6,Reggie Perry\perryre01,PF,3.0,3,0.5,0.2,0.6
4,Cameron Reynolds\reynoca01,SF,3.0,1,0.4,0.0,0.0
6,Javonte Green\greenja02,PG,2.6,1,0.4,0.3,0.4
-1,Ignas Brazdeikis\brazdig01,SF,0.0,2,0.0,0.0,0.0
6,Sam Merrill\merrisa01,SG,3.0,1,0.7,0.0,0.3
5,Axel Toupane\toupaax01,SF,1.8,1,0.5,0.4,0.0
5,Kyle Guy\guyky01,PG,2.8,1,1.0,0.0,0.4
6,Chris Silva\silvach01,PF,2.7,2,0.5,0.5,0.8
4,Matt Thomas\thomama02,SG,2.7,1,0.3,0.0,0.2
5,Tre Jones\jonestr01,PG,2.5,1,1.1,0.0,0.4
6,Anderson Varejão\varejan01,C,2.6,4,0.6,0.4,0.2
4,Matt Thomas\thomama02,SG,3.1,1,0.4,0.0,0.3
6,Jahmius Ramsey\ramseja01,SG,3.1,1,0.5,0.1,0.2
5,Luke Kornet\kornelu01,PF,2.0,1,0.3,0.5,0.1
5,Mfiondu Kabengele\kabenmf01,PF,2.4,2,0.4,0.3,0.4
8,Tacko Fall\fallta01,C,2.5,3,0.2,1.1,0.3
5,Matt Thomas\thomama02,SG,3.6,1,0.5,0.0,0.4
4,Vlatko Čančar\cancavl01,PF,2.1,1,0.3,0.0,0.3
2,Moritz Wagner\wagnemo01,C,1.2,2,0.7,0.1,1.0
8,Paul Reed\reedpa01,PF,3.4,2,0.5,0.5,0.5
3,Rodions Kurucs\kurucro01,SF,1.2,1,0.4,0.4,0.8
7,Rodions Kurucs\kurucro01,SF,3.0,2,0.8,0.0,0.8
3,Bruno Fernando\fernabr01,C,1.5,2,0.3,0.1,0.6
3,Jared Dudley\dudleja01,PF,0.5,2,0.4,0.1,0.2
6,Quinn Cook\cookqu01,PG,3.3,1,0.8,0.0,0.3
4,Deividas Sirvydis\sirvyde01,SG,2.1,2,0.3,0.0,0.3
4,Damian Jones\jonesda03,C,1.6,1,0.3,0.4,0.4
5,Alfonzo McKinnie\mckinal01,SF,3.1,1,0.2,0.0,0.1
4,Patrick McCaw\mccawpa01,SF,1.0,1,0.8,0.0,0.0
5,Norvel Pelle\pelleno01,C,1.5,2,0.2,0.7,0.2
3,Gary Clark\clarkga01,PF,0.0,1,0.5,0.0,0.0
4,CJ Elleby\ellebcj01,SF,2.3,1,0.3,0.1,0.2
4,Quinndary Weatherspoon\weathqu01,SG,2.3,1,0.4,0.1,0.5
5,Chris Silva\silvach01,PF,2.1,2,0.4,0.4,0.7
4,Vernon Carey Jr.\careyve01,C,2.4,1,0.1,0.3,0.3
4,Brodric Thomas\thomabr01,SG,2.5,1,1.0,0.3,1.0
-8,Anžejs Pasečņiks\pasecan01,C,0.0,1,1.0,0.0,5.0
4,Rodions Kurucs\kurucro01,SF-PF,1.5,1,0.5,0.2,0.6
4,Bruno Caboclo\cabocbr01,PF,2.8,2,0.2,0.3,0.7
3,Jalen Smith\smithja04,PF,2.0,1,0.1,0.2,0.3
5,Norvel Pelle\pelleno01,C,1.2,1,0.1,0.7,0.0
6,Amida Brimah\brimaam01,C,2.6,2,0.2,1.0,0.8
4,Alen Smailagić\smailal01,PF,1.9,1,0.3,0.3,0.3
1,Iman Shumpert\shumpim01,SG,1.0,0,0.0,0.0,0.5
3,Markus Howard\howarma02,SG,2.8,0,0.5,0.0,0.5
4,Daniel Oturu\oturuda01,C,1.8,2,0.3,0.2,0.3
3,James Nunnally\nunnaja01,SF,1.7,1,0.3,0.0,0.2
3,Sindarius Thornwell\thornsi01,SG,1.2,0,0.3,0.1,0.3
3,Tyrell Terry\terryty01,PG,1.0,0,0.5,0.0,0.2
3,Juwan Morgan\morgaju01,PF,1.2,1,0.3,0.0,0.1
3,T.J. Leaf\leaftj01,PF,1.7,1,0.1,0.1,0.3
4,Bol Bol\bolbo01,PF,2.2,1,0.2,0.3,0.4
3,Rayjon Tucker\tuckera01,PG,2.4,1,0.4,0.0,0.3
3,Jontay Porter\portejo01,PF,2.0,1,0.1,0.1,0.6
4,Devontae Cacok\cacokde01,PF,2.0,2,0.1,0.2,0.3
5,Jarrell Brantley\brantja01,PF,2.3,1,0.5,0.1,0.3
3,Marques Bolden\boldema01,C,1.2,1,0.0,0.3,0.3
3,Cristiano Felício\feliccr01,C,1.3,2,0.5,0.0,0.2
3,Cassius Winston\winstca01,PG,1.9,0,0.5,0.0,0.2
4,Mason Jones\jonesma05,SG,2.7,1,0.5,0.0,0.2
5,Devon Dotson\dotsode01,PG,2.1,0,0.6,0.0,0.0
3,Nate Hinton\hintona01,SG,2.0,0,0.4,0.1,0.2
1,Keljin Blevins\blevike01,SF,0.7,1,0.2,0.0,0.3
1,Tyler Cook\cookty01,PF,0.5,1,0.5,0.0,0.3
2,Mfiondu Kabengele\kabenmf01,PF,1.2,1,0.2,0.1,0.3
4,Norvel Pelle\pelleno01,C,3.0,1,1.0,0.0,0.0
6,Gary Payton II\paytoga02,PG,2.5,1,0.1,0.1,0.1
2,Adam Mokoka\mokokad01,SG,1.1,0,0.4,0.1,0.4
2,Cassius Stanley\stanlca01,SG,1.5,1,0.0,0.1,0.0
4,Grant Riller\rillegr01,PG,2.6,0,0.4,0.0,0.1
1,Vincent Poirier\poirivi01,C,0.8,1,0.2,0.3,0.4
4,Quinn Cook\cookqu01,PG,2.1,0,0.3,0.1,0.2
2,Tyler Bey\beyty01,SF,1.0,1,0.2,0.1,0.2
0,Terrance Ferguson\fergute01,SG,0.2,0,0.2,0.0,0.3
2,Udoka Azubuike\azubuud01,C,1.1,1,0.0,0.3,0.2
2,Malik Fitts\fittsma01,PF,1.0,1,0.0,0.0,0.0
2,Nate Darling\darlina01,SG,1.3,0,0.1,0.1,0.1
1,Kostas Antetokounmpo\antetko01,PF,0.8,1,0.1,0.3,0.7
3,Elijah Hughes\hugheel01,SF,1.7,0,0.3,0.1,0.3
3,Robert Woodard\woodaro01,SF,1.5,1,0.2,0.2,0.1
1,Nick Richards\richani01,PF,0.8,1,0.1,0.0,0.2
2,Shaquille Harrison\harrish01,SG,1.0,1,0.5,0.0,0.3
2,Rodions Kurucs\kurucro01,PF,0.6,1,0.4,0.0,0.0
2,Ty-Shon Alexander\alexaty01,SG,0.6,1,0.4,0.1,0.2
-1,Greg Whittington\whittgr01,PF,0.0,0,0.0,0.0,0.0
-3,Will Magnay\magnawi01,C,0.0,0,0.0,0.0,1.0
2,Jalen Lecque\lecquja01,PG,1.3,1,0.5,0.0,0.0
7,Udonis Haslem\hasleud01,C,4.0,1,0.0,0.0,0.0
-1,Noah Vonleh\vonleno01,PF,0.0,0,0.3,0.0,0.5
0,Jaylen Adams\adamsja01,PG,0.3,0,0.3,0.0,0.0
1,Brian Bowen\bowenbr02,SF,0.5,0,0.0,0.0,0.0
1,Chris Silva\silvach01,PF,0.5,0,0.0,0.3,0.3
1,Cameron Reynolds\reynoca01,SF,0.7,0,0.0,0.0,0.0
0,Theo Pinson\pinsoth01,SG,0.1,0,0.1,0.0,0.1
0,Jared Harper\harpeja01,PG,0.4,0,0.1,0.0,0.4
-1,Ashton Hagans\haganas01,PG,0.0,0,0.0,0.0,0.5
0,Gary Clark\clarkga01,SF,0.0,0,0.0,0.0,0.0
1,Ignas Brazdeikis\brazdig01,SF,0.5,1,0.3,0.0,0.3
