FantasyPoints,Player,Position,Points,Rebounds,Assists,Blocks, Turnovers
28,Dennis Schröder\schrode01,SG,15.4,4,5.8,0.2,2.7
28,Kevin Porter Jr.\porteke02,SG,16.6,4,6.3,0.3,3.5
28,Anthony Edwards\edwaran01,SG,19.3,5,2.9,0.5,2.2
28,Norman Powell\powelno01,SG-SF,18.6,3,1.9,0.3,1.7
22,Dorian Finney-Smith\finnedo01,PF,9.8,5,1.7,0.4,0.8
24,Robert Covington\covinro01,PF,8.5,7,1.7,1.2,0.9
22,Elijah Bryant\bryanel01,SG,16.0,6,3.0,1.0,4.0
34,Dejounte Murray\murrade01,PG,15.7,7,5.4,0.1,1.7
33,Kemba Walker\walkeke02,PG,19.3,4,4.9,0.3,2.0
24,Gary Trent Jr.\trentga02,SG,16.2,4,1.3,0.2,0.7
33,Lonzo Ball\balllo01,PG,14.6,5,5.7,0.6,2.2
21,Royce ONeale\onealro01,SF,7.0,7,2.5,0.5,1.2
35,Caris LeVert\leverca01,SG,20.2,5,5.2,0.6,2.2
22,Rui Hachimura\hachiru01,PF,13.8,6,1.4,0.1,1.2
33,Draymond Green\greendr01,PF,7.0,7,8.9,0.8,3.0
23,Duncan Robinson\robindu01,SF,13.1,4,1.8,0.3,1.1
40,Chris Paul\paulch01,PG,16.4,4,8.9,0.3,2.2
33,Michael Porter Jr.\portemi01,SF,19.0,7,1.1,0.9,1.3
23,Blake Griffin\griffbl01,PF,12.3,5,3.9,0.1,1.6
26,Coby White\whiteco01,PG,15.1,4,4.8,0.2,2.3
25,Larry Nance Jr.\nancela02,PF,9.3,7,3.1,0.5,1.6
21,Darius Bazley\bazleda01,PF,13.7,7,1.8,0.5,2.2
23,Gary Trent Jr.\trentga02,SG,15.3,3,1.4,0.2,0.7
38,Kelly Olynyk\olynyke01,PF,19.0,8,4.1,0.6,2.6
48,Joel Embiid\embiijo01,C,28.5,11,2.8,1.4,3.1
31,Myles Turner\turnemy01,C,12.6,6,1.0,3.4,1.4
25,Joe Harris\harrijo01,SF,14.1,4,1.9,0.2,0.9
23,Will Barton\bartowi01,SF,12.7,4,3.2,0.4,1.7
35,Kristaps Porziņģis\porzikr01,C,20.1,9,1.6,1.3,1.2
22,Gary Trent Jr.\trentga02,SG,15.0,2,1.4,0.1,0.8
25,Kevin Huerter\huertke01,SG,11.9,3,3.5,0.3,1.1
39,Rudy Gobert\goberru01,C,14.3,14,1.3,2.7,1.7
23,Bojan Bogdanović\bogdabo02,SF,17.0,4,1.9,0.1,1.8
25,Kelly Oubre Jr.\oubreke01,SF,15.4,6,1.3,0.8,1.3
33,Deandre Ayton\aytonde01,C,14.4,10,1.4,1.2,1.5
37,Khyri Thomas\thomakh01,SG,16.4,4,5.0,1.2,1.2
17,Gary Harris\harriga01,SG,9.7,2,1.7,0.2,0.7
27,P.J. Washington\washipj01,PF,12.9,7,2.5,1.2,2.0
28,Norman Powell\powelno01,SG,19.6,3,1.8,0.2,1.8
26,Khem Birch\birchkh01,C,11.9,8,1.9,1.2,1.1
22,Josh Richardson\richajo01,SG,12.1,3,2.6,0.4,1.3
21,Justin Holiday\holidju01,SG,10.5,4,1.7,0.6,0.8
26,Tyler Herro\herroty01,SG,15.1,5,3.4,0.3,1.9
30,Evan Fournier\fournev01,SF,19.7,3,3.7,0.3,2.1
28,Jarrett Allen\allenja01,C,13.2,10,1.7,1.4,1.5
28,Devonte Graham\grahade01,PG,14.8,3,5.4,0.1,1.5
30,Tyrese Haliburton\halibty01,PG,13.0,3,5.3,0.5,1.6
38,Clint Capela\capelca01,C,15.2,14,0.8,2.0,1.2
13,P.J. Tucker\tuckepj01,PF,4.4,5,1.4,0.6,1.0
29,Evan Fournier\fournev01,SF-SG,17.1,3,3.4,0.5,1.7
20,Reggie Bullock\bullore01,SF,10.9,3,1.5,0.2,0.7
24,Dillon Brooks\brookdi01,SF,17.2,3,2.3,0.4,1.8
20,Luguentz Dort\dortlu01,SG,14.0,4,1.7,0.4,1.5
31,Bogdan Bogdanović\bogdabo01,SG,16.4,4,3.3,0.3,1.2
22,Eric Bledsoe\bledser01,SG,12.2,3,3.8,0.3,1.6
27,Derrick White\whitede01,SG,15.4,3,3.5,1.0,1.3
28,Jarrett Allen\allenja01,C,12.8,10,1.7,1.4,1.6
25,Kendrick Nunn\nunnke01,PG,14.6,3,2.6,0.3,1.4
25,DeAndre Hunter\huntede01,SF,15.0,5,1.9,0.5,1.3
27,Evan Fournier\fournev01,SG,13.0,3,3.1,0.6,1.2
26,Aaron Gordon\gordoaa01,PF,14.6,7,4.2,0.8,2.7
33,Mike Conley\conlemi01,PG,16.2,4,6.0,0.2,1.9
21,T.J. Warren\warretj01,SF,15.5,4,1.3,0.0,1.0
24,Terrence Ross\rosste01,SG,15.6,3,2.3,0.5,1.6
31,John Collins\collijo01,PF,17.6,7,1.2,1.0,1.3
25,Miles Bridges\bridgmi02,PF,12.7,6,2.2,0.8,1.6
19,Ignas Brazdeikis\brazdig01,SF,11.1,5,2.0,0.4,1.4
28,Delon Wright\wrighde01,SG,10.4,4,5.0,0.5,1.3
23,JaeSean Tate\tateja01,SF,11.3,5,2.5,0.5,1.4
31,Richaun Holmes\holmeri01,C,14.2,8,1.7,1.6,1.2
24,Eric Gordon\gordoer01,SG,17.8,2,2.6,0.5,1.9
36,Andre Drummond\drumman01,C,17.5,13,2.6,1.2,3.2
18,Cam Reddish\reddica01,SF,11.2,4,1.3,0.3,1.3
33,LaMelo Ball\ballla01,PG,15.7,6,6.1,0.4,2.8
22,Kyle Kuzma\kuzmaky01,SF,12.9,6,1.9,0.6,1.7
23,Josh Hart\hartjo01,SF,9.2,8,2.3,0.3,1.0
22,Seth Curry\curryse01,SG,12.5,2,2.7,0.1,1.1
32,DAngelo Russell\russeda01,PG,19.0,3,5.8,0.4,2.7
28,Kelly Olynyk\olynyke01,C-PF,13.5,7,2.9,0.6,1.8
22,Keldon Johnson\johnske04,SF,12.8,6,1.8,0.3,1.1
24,Tim Hardaway Jr.\hardati02,SG,16.6,3,1.8,0.2,0.9
18,Kentavious Caldwell-Pope\caldwke01,SG,9.7,3,1.9,0.4,1.0
37,Jonas Valančiūnas\valanjo01,C,17.1,12,1.8,0.9,1.6
21,Danny Green\greenda02,SF,9.5,4,1.7,0.8,1.0
21,Trevor Ariza\arizatr01,SF,9.4,5,1.8,0.6,0.7
18,Patrick Williams\willipa01,PF,9.2,5,1.4,0.6,1.4
26,Joe Ingles\inglejo01,SF,12.1,4,4.7,0.2,1.7
31,Al Horford\horfoal01,C,14.2,7,3.4,0.9,1.0
19,Victor Oladipo\oladivi01,SG,12.0,4,3.5,0.5,3.5
34,Caris LeVert\leverca01,SG,18.5,4,6.0,0.5,2.2
26,Delon Wright\wrighde01,SG-PG,10.2,4,4.4,0.5,1.3
16,Gary Harris\harriga01,SG,9.9,2,2.0,0.3,0.9
23,Aaron Gordon\gordoaa01,PF,12.4,6,3.2,0.7,1.9
21,Steven Adams\adamsst01,C,7.6,9,1.9,0.7,1.3
23,Mitchell Robinson\robinmi01,C,8.3,8,0.5,1.5,0.8
23,Donte DiVincenzo\divindo01,SG,10.4,6,3.1,0.2,1.4
21,Jae Crowder\crowdja01,PF,10.1,5,2.1,0.5,0.9
18,Théo Maledon\maledth01,PG,10.1,3,3.5,0.2,2.2
21,Nicolas Batum\batumni01,SF,8.1,5,2.2,0.6,0.8
16,Garrett Temple\templga01,SG,7.6,3,2.2,0.5,1.0
20,Saddiq Bey\beysa01,SF,12.2,4,1.4,0.2,0.9
29,Kyle Anderson\anderky01,PF,12.4,6,3.6,0.8,1.2
24,Brook Lopez\lopezbr01,C,12.3,5,0.7,1.5,0.9
27,Thomas Bryant\bryanth01,C,14.3,6,1.5,0.8,1.1
22,Cole Anthony\anthoco01,PG,12.9,5,4.1,0.4,2.3
20,Jeff Green\greenje02,C,11.0,4,1.6,0.4,0.8
32,Andre Drummond\drumman01,C,14.9,12,2.0,1.1,2.7
19,Austin Rivers\riverau01,SG,8.7,2,2.6,0.1,0.9
22,Kelly Olynyk\olynyke01,C,10.0,6,2.1,0.6,1.3
23,Markelle Fultz\fultzma01,PG,12.9,3,5.4,0.3,2.3
28,Derrick Rose\rosede01,PG,14.9,3,4.2,0.4,1.4
28,Mason Plumlee\plumlma01,C,10.4,9,3.6,0.9,1.9
18,Maxi Kleber\klebima01,PF,7.1,5,1.4,0.7,0.6
24,Jakob Poeltl\poeltja01,C,8.6,8,1.9,1.8,1.2
23,Goran Dragić\dragigo01,PG,13.4,3,4.4,0.2,2.4
27,Jordan Clarkson\clarkjo01,SG,18.4,4,2.5,0.1,1.7
30,Jarrett Allen\allenja01,C,11.2,10,1.7,1.6,1.8
24,Wendell Carter Jr.\cartewe01,C,11.7,9,1.6,0.8,1.3
22,Marcus Morris\morrima03,PF,13.4,4,1.0,0.3,1.0
28,Cory Joseph\josepco01,PG,12.0,3,5.5,0.5,1.8
23,George Hill\hillge01,PG,11.8,2,3.1,0.1,0.9
11,P.J. Tucker\tuckepj01,PF,3.7,4,1.2,0.4,0.8
25,Ricky Rubio\rubiori01,PG,8.6,3,6.4,0.1,1.6
18,Moritz Wagner\wagnemo01,C,11.0,5,1.1,0.8,1.2
29,T.J. McConnell\mccontj01,PG,8.6,4,6.6,0.3,2.0
19,Armoni Brooks\brookar01,SG,11.2,3,1.5,0.3,1.1
29,LaMarcus Aldridge\aldrila01,C,12.8,5,2.6,2.2,1.4
16,Danuel House\houseda01,SF,8.8,4,1.9,0.4,1.0
20,Aaron Gordon\gordoaa01,PF,10.2,5,2.2,0.6,1.2
22,Marvin Bagley III\baglema01,PF,14.1,7,1.0,0.5,1.4
24,LaMarcus Aldridge\aldrila01,C,13.5,4,1.9,1.1,1.0
23,LaMarcus Aldridge\aldrila01,C,13.7,4,1.7,0.9,1.0
24,Delon Wright\wrighde01,PG,10.0,4,3.6,0.4,1.3
22,Lauri Markkanen\markkla01,PF,13.6,5,0.9,0.3,1.0
16,Killian Hayes\hayeski01,PG,6.8,3,5.3,0.4,3.2
22,Blake Griffin\griffbl01,PF,11.0,5,3.0,0.3,1.3
